Movie,IMDB ID,Genre ID,Popularity,Release date,Adult,original language,vote_count,vote average,run time,run budget, revenue
Hulchul,20364,"[35, 18, 10749]",2.337927,11/26/2004,FALSE,en,13,6.2,168,0,0
Cubbyhouse,74807,"[27, 53]",1.904989,12/10/2001,FALSE,en,10,2.8,89,0,0
The Secret Lives of Dentists,26195,[18],2.086368,9/9/2002,FALSE,en,6,6.8,104,0,0
Cowards Bend the Knee,17595,"[18, 10749]",1.322567,1/1/2003,FALSE,en,4,7.8,64,0,0
The Night Brings Charlie,222900,[27],1.398669,8/8/1990,FALSE,en,3,5.2,75,0,0
A Chinese Ghost Story,30421,"[14, 28]",6.609107,7/18/1987,FALSE,cn,62,7.2,98,0,0
The Prodigy,20270,"[28, 18, 10751, 9648, 53]",1.835176,1/1/2005,FALSE,en,1,6,120,0,0
Nothing,10981,"[35, 14, 878]",3.981796,9/9/2003,FALSE,en,38,5.8,90,0,0
Russian Terminator,86223,[28],1.10719,12/12/1989,FALSE,en,2,6.5,87,0,0
The Golden Arrow,176259,"[10751, 35]",1.144794,5/23/1936,FALSE,en,3,5.7,68,0,0
The Advanced Guard,78371,"[878, 53]",2.086336,3/21/1998,FALSE,en,7,2.4,91,0,0
Spanish Judges,141319,"[80, 18]",1.910192,10/16/2000,FALSE,en,2,5.5,94,3500000,0
Gung Ho,13698,"[35, 18]",5.346699,3/13/1986,FALSE,en,50,6.2,111,0,36611610
Hell's Threshold,202962,[],1.000006,,FALSE,en,0,0,76,0,0
Chillers,97971,[27],1.098584,1/1/1987,FALSE,en,2,3.5,91,250000,0
In the Good Old Summertime,25698,"[35, 10402, 10749]",1.456864,7/29/1949,FALSE,en,10,6.7,102,3400000,0
Mysterious Planet,363406,[],1.00057,1/1/1982,FALSE,en,0,0,71,0,0
Twenty Minutes of Love,53375,[35],1.972442,4/20/1914,FALSE,en,11,5.9,20,0,0
The Last Station,36811,"[18, 10749]",5.968739,9/4/2009,FALSE,en,64,6.7,112,0,0
Gammera the Invincible,35616,"[27, 878]",2.120733,12/15/1966,FALSE,en,7,5.4,86,0,0
Checkout,62101,"[35, 10749]",1.002357,8/2/2002,FALSE,en,0,0,100,0,0
G.I. Jane,4421,"[28, 18]",7.65784,8/22/1997,FALSE,en,430,6,125,50000000,48169156
Man on Fire,9509,"[28, 18, 53, 80]",9.562333,4/23/2004,FALSE,en,1664,7.3,146,70000000,130293714
Dollman,68773,"[28, 35, 80, 878]",2.549128,11/27/1991,FALSE,en,17,5.3,82,0,0
Don't Drink the Water,10462,[35],1.784754,12/18/1994,FALSE,en,16,4.9,92,0,0
Trailer for a Remake of Gore Vidal's Caligula,308783,"[35, 18]",1.881146,6/15/2005,FALSE,en,4,7,6,120000,0
Psychos in Love,48789,"[35, 27]",1.274696,5/1/1987,FALSE,en,6,6,88,75000,0
The Great Ecstasy of Robert Carmichael,44986,"[80, 18]",1.832169,8/14/2005,FALSE,en,7,5.5,96,0,0
Deewana,45001,"[28, 35, 80, 18, 10749]",1.682441,6/25/1992,FALSE,hi,11,7,185,0,12000000
The Barefoot Executive,20173,"[35, 10751]",2.509476,3/17/1971,FALSE,en,11,5.1,96,0,0
Flying Saucer Daffy,117385,[35],1.002818,10/9/1958,FALSE,en,0,0,17,0,0
Party 7,31140,"[28, 35, 10769]",1.843335,9/27/2000,FALSE,ja,6,5.4,104,0,0
Demonicus,43081,"[14, 27, 878]",1.156975,7/24/2001,FALSE,en,2,5.3,72,0,0
A Thief in the Night,144662,"[27, 18, 14]",1.296638,1/9/1972,FALSE,en,2,6,69,60,0
Almost Golden: The Jessica Savitch Story,117399,[],1.001249,9/4/1995,FALSE,en,0,0,0,0,0
While the Patient Slept,156970,[9648],1.004829,3/9/1935,FALSE,en,0,0,66,0,0
There's Good Boos To-Night,188384,[],1.072222,4/22/1948,FALSE,en,2,3,7,0,0
Suicide Fleet,214677,"[10752, 35, 18]",1.012356,11/30/1931,FALSE,en,0,0,87,0,0
Yentl,10269,"[10402, 18, 10749]",4.327411,11/18/1983,FALSE,en,56,6.2,132,12000000,30400000
"New York, I Love You",12572,"[35, 18, 10749]",7.024174,9/6/2008,FALSE,en,183,5.8,103,14700000,8049666
Tail Gunner Joe,266135,"[10770, 18]",1.284816,2/6/1977,FALSE,en,1,5,145,0,0
Dark Floors,14145,"[14, 27]",3.854938,2/6/2008,FALSE,en,52,4.7,85,4300000,0
Doubt,14359,"[18, 9648]",7.568715,11/27/2008,FALSE,en,482,7.1,104,20000000,50907234
Major Payne,11008,"[12, 35, 10751]",6.682718,3/24/1995,FALSE,en,176,6,95,0,0
Pray for the Wildcats,86204,"[18, 10770]",1.001233,1/23/1974,FALSE,en,0,0,100,0,0
The House That Screamed,146165,[],1.002454,4/11/2000,FALSE,en,0,0,70,0,0
The Colossus of New York,56767,"[27, 878]",1.334135,6/26/1958,FALSE,en,8,4.8,70,0,0
The Last Hunt,127564,[37],1.683232,4/30/1956,FALSE,en,5,6.4,108,0,0
Eye of the Needle,10863,"[28, 18, 10749, 53]",4.157178,7/24/1981,FALSE,en,49,6.4,112,0,18000000
Provocateur,165550,"[53, 28, 18]",1.199853,5/19/1998,FALSE,en,1,3,103,0,0
This House Possessed,109120,[27],1.548594,2/6/1981,FALSE,en,3,5.3,96,0,0
Evil Breed: The Legend of Samhain,39923,"[27, 35]",1.534935,1/1/2002,FALSE,en,6,4.2,78,0,0
It Should Happen to You,20127,"[35, 18, 10749]",2.167657,1/18/1954,FALSE,en,8,7.6,86,0,0
Pharaoh's Curse,98116,[27],1.338386,2/1/1957,FALSE,en,6,4.4,66,0,0
Oliver!,17917,"[18, 10751, 10402]",9.934193,9/26/1968,FALSE,en,112,7,153,10000000,37402877
A Cry in the Dark,35119,[18],3.848367,11/11/1988,FALSE,en,50,6.5,120,15000000,6908797
Suzy,52358,[18],1.795435,7/20/1936,FALSE,en,6,5.5,93,0,0
Sleepaway Camp II: Unhappy Campers,34311,"[27, 35]",4.052188,10/31/1988,FALSE,en,57,5.9,80,0,0
Iceman,467546,"[12, 18]",11.053919,11/30/2017,FALSE,de,0,0,96,0,0
Last Exit to Brooklyn,12774,[18],3.44378,10/11/1989,FALSE,en,28,6.2,102,0,0
Beyond the Gates,397981,"[12, 27]",6.531898,6/2/2016,FALSE,en,62,5,84,0,0
Adam Had Four Sons,106406,[10749],1.601672,3/27/1941,FALSE,en,4,6.1,81,0,0
The Far Country,18721,"[18, 10749, 37]",6.540824,2/12/1955,FALSE,en,25,6.5,97,0,0
Journey Back to Oz,187542,"[16, 10402, 10751, 14]",1.548674,12/5/1974,FALSE,en,7,4.6,88,0,0
Intermission,16941,"[10749, 28, 35, 80, 9648, 18]",6.458476,8/29/2003,FALSE,en,52,6.4,105,5000000,4856298
Alive,7305,"[28, 12, 18, 53]",7.210233,1/15/1993,FALSE,en,412,6.7,120,32000000,36733909
Laughing Sinners,97327,"[18, 10749]",1.382049,5/31/1931,FALSE,en,3,3.3,72,0,0
Trio,262097,"[35, 80]",1.35693,5/24/1997,FALSE,ko,2,4,102,0,0
Red Eye,11460,"[27, 53]",6.991706,8/4/2005,FALSE,en,512,6.2,85,26000000,57891803
The Last Chase,35453,"[28, 12, 878]",1.67075,4/1/1981,FALSE,en,7,3.9,101,0,0
Monkey Grip,78087,[18],1.138669,6/17/1982,FALSE,en,1,5,99,0,0
Drawing Blood,111753,[27],1.433403,1/1/1999,FALSE,en,3,4.5,90,0,0
The Dukes of Hazzard,6519,"[28, 12, 35]",11.685344,8/5/2005,FALSE,en,348,5.1,104,50000000,110803676
"Jane Doe: Now You See It, Now You Don't",68676,[9648],2.380413,2/18/2005,FALSE,en,2,6,89,0,0
Kinjite: Forbidden Subjects,59201,"[28, 18, 53]",2.560286,2/3/1989,FALSE,en,13,4.5,97,0,0
Dark Honeymoon,16207,"[27, 9648, 53]",1.392627,7/22/2008,FALSE,en,4,4.8,0,0,0
"Our Son, the Matchmaker",224787,[],1.060732,5/8/1996,FALSE,en,0,0,95,0,0
Chungking Express,11104,"[18, 35, 10749]",7.301004,7/14/1994,FALSE,cn,265,7.9,102,0,0
Trigger Man,65367,"[28, 18, 53, 27]",1.428428,10/19/2007,FALSE,en,6,4.1,80,10000,0
Baba,66243,"[18, 28, 10769]",1.435453,8/15/2002,FALSE,ta,5,6.8,160,0,0
The Perfect Weapon,416149,"[878, 28]",5.920854,9/9/2016,FALSE,en,18,3.9,88,8000000,17000000
Evel Knievel,139324,[28],2.394272,9/10/1971,FALSE,en,7,5.3,88,0,0
Our Song,48109,[18],1.652539,1/21/2000,FALSE,en,7,6.4,95,0,0
The Annihilators,129302,"[28, 80, 18]",1.935067,1/1/1985,FALSE,en,5,5.3,84,0,0
Finding Graceland,38555,[18],1.507433,5/21/1999,FALSE,en,6,5.5,97,0,0
I'll Take You There,106131,"[35, 10749, 18]",1.052298,9/3/1999,FALSE,en,1,6,94,0,0
The Lost Son,30964,"[9648, 53]",2.004755,6/25/1999,FALSE,en,6,5.8,102,0,0
"Goodbye, My Fancy",115111,"[35, 10749]",1.20827,5/19/1951,FALSE,en,3,6,107,0,0
A Ghost in Monte Carlo,87628,"[10749, 36]",1.077062,1/1/1990,FALSE,en,1,4,90,0,0
Cleopatra Jones and the Casino of Gold,2139,"[28, 12, 18]",1.982813,7/11/1975,FALSE,en,3,6.7,94,0,0
